drive,stop_distance,k_cross,k_heading,success,reason,cross_track_m,endpoint_distance_m,terminal_speed_mps,steps
0.5,0.8,1.2,0.8,0,2,1.5054301023483276,2.681861400604248,0.5448836088180542,673
0.65,1.2,0.6,0.8,0,2,1.509232997894287,1.5095148086547852,0.69072425365448,673
0.65,1.6,1.2,1.5,0,2,1.5056072473526,1.587180733680725,0.5961867570877075,673
0.5,0.8,1.2,0.8,0,2,1.5099098682403564,2.6951072216033936,0.5441814661026001,674
0.65,1.6,1.2,1.5,0,2,1.5106414556503296,1.5830230712890625,0.5927526950836182,674
0.5,0.8,1.2,0.8,0,2,1.5064697265625,2.4602811336517334,0.5386581420898438,679
0.65,1.6,0.6,0.8,0,2,1.501025676727295,1.5180683135986328,0.5698521733283997,679
0.65,0.8,0.6,1.5,0,2,1.5118911266326904,1.5926488637924194,0.7124922871589661,681
0.65,1.2,1.2,1.5,0,2,1.503476619720459,1.5893465280532837,0.6784453392028809,682
0.65,0.8,1.2,1.5,0,2,1.5070217847824097,1.854961633682251,0.6889309287071228,684
0.5,0.8,1.2,1.5,0,2,1.5051591396331787,2.1621670722961426,0.5494139194488525,685
0.5,1.6,1.2,1.5,1,0,0.14597955346107483,0.19970205426216125,0.08175311237573624,686
0.65,0.8,1.2,0.8,0,2,1.5029736757278442,1.7075570821762085,0.690296471118927,686
0.5,0.8,0.6,0.8,0,2,1.5003234148025513,2.7516226768493652,0.5472038388252258,689
0.5,0.8,1.2,1.5,0,2,1.504401445388794,2.640186071395874,0.5567924976348877,689
0.5,0.8,0.6,0.8,0,2,1.502039909362793,2.54256272315979,0.5522329807281494,690
0.5,0.8,0.6,0.8,0,2,1.504184365272522,2.5467586517333984,0.5518177151679993,690
0.65,1.2,0.6,0.8,0,2,1.500983476638794,1.5232433080673218,0.681036114692688,690
0.5,0.8,0.6,0.8,0,2,1.500414252281189,2.3739752769470215,0.5514054298400879,691
0.65,1.2,0.6,0.8,0,2,1.5041155815124512,1.525958776473999,0.6826131343841553,691
0.5,0.8,1.2,0.8,0,2,1.5041838884353638,2.1261911392211914,0.5306146144866943,692
0.5,1.2,1.2,1.5,1,0,0.02856641262769699,0.19992749392986298,0.09713490307331085,693
0.5,0.8,1.2,1.5,0,2,1.5008690357208252,2.8468399047851562,0.5527532696723938,694
0.5,0.8,0.6,0.8,0,2,1.5076727867126465,2.0276756286621094,0.5527371764183044,695
0.5,0.8,1.2,1.5,0,2,1.5077353715896606,2.158674955368042,0.559088945388794,695
0.65,1.2,0.6,1.5,0,2,1.511277675628662,1.712093472480774,0.6750247478485107,695
0.65,1.2,0.6,1.5,0,2,1.501556158065796,1.6709686517715454,0.6728505492210388,696
0.5,0.8,1.2,1.5,0,2,1.500824213027954,2.116314172744751,0.5577468276023865,697
0.65,1.6,0.6,0.8,0,2,1.50423264503479,1.5602632761001587,0.5776177644729614,697
0.5,0.8,1.2,0.8,0,2,1.5006104707717896,2.1437015533447266,0.5252388715744019,698
0.65,1.2,0.6,0.8,0,2,1.5048457384109497,1.5365777015686035,0.6793805360794067,698
0.65,1.6,1.2,0.8,0,2,1.5050945281982422,1.9733670949935913,0.6878427863121033,699
0.5,0.8,0.6,1.5,0,2,1.507759690284729,2.545931577682495,0.5529742240905762,700
0.65,1.2,0.6,1.5,0,2,1.504338026046753,1.586759328842163,0.691780149936676,700
0.5,0.8,1.2,1.5,0,2,1.505625605583191,2.0997374057769775,0.5581651926040649,701
0.5,0.8,1.2,1.5,0,2,1.5038870573043823,2.106865644454956,0.5586086511611938,701
0.5,0.8,0.6,1.5,0,2,1.5081783533096313,2.645965576171875,0.5510762929916382,702
